,words,ground_truth,stanza_predictions,spacy_predictions
0,The,det,det,det
1,previous,amod,amod,amod
2,master,nsubj:pass,nsubj:pass,nsubj:pass
3,will,aux,aux,aux
4,never,neg,advmod,neg
5,have,aux,aux,aux
6,been,aux:pass,aux:pass,aux:pass
7,defeated,root,root,root
8,.,punct,punct,punct
9,That,nsubj,nsubj,nsubj
10,will,aux,aux,aux
11,be,cop,cop,root
12,the,det,det,det
13,end,root,root,attr
14,of,case,case,case
15,it,nmod,nmod,pobj
16,.,punct,punct,punct
17,There,expl,expl,expl
18,would,aux,aux,aux
19,be,root,root,root
20,time,nsubj,nsubj,attr
21,to,mark,mark,aux
22,talk,acl,acl,relcl
23,later,amod,amod,amod
24,hours,obj,obj,dobj
25,and,cc,cc,cc
26,days,conj,conj,conj
27,and,cc,cc,cc
28,maybe,advmod,advmod,advmod
29,years,conj,conj,root
30,in,case,case,case
31,which,obj,obl,pobj
32,to,mark,mark,aux
33,talk,relcl,acl,relcl
34,.,punct,punct,punct
35,We,nsubj,nsubj,nsubj
36,did,root,root,ccomp
37,it,obj,obj,dobj
38,we,nsubj,nsubj,nsubj
39,bashed,ccomp,ccomp,root
40,them,obj,obj,dobj
41,wee,mark,mark,compound
42,Potter,nsubj,nsubj,dobj
43,is,cop,cop,root
44,the,det,det,det
45,one,advcl,advcl,attr
46,And,cc,cc,cc
47,Voldy,nsubj,nsubj,nsubj
48,has,aux,aux,aux
49,gone,conj,conj,root
50,moldy,xcomp,xcomp,acomp
51,so,advmod,advmod,advmod
52,now,advmod,advmod,advmod
53,let,root,parataxis,root
54,us,obj,obj,nsubj
55,have,parataxis,xcomp,ccomp
56,fun,obj,obj,dobj
57,!,punct,punct,punct
58,But,cc,cc,cc
59,it,nsubj,nsubj,nsubj
60,was,cop,cop,root
61,applause,obj,root,attr
62,.,punct,punct,punct
